Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 28/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0335,1.0295,NAv,NAv,NAv,,
UBS Global Credit,1.0500,1.0469,9.32,9.17,****,,
High Yield Credit,,
Bentham Wholesale Syndicated Loan,1.0112,1.0032,7.24,10.70,***,,
Mortgages,,
AUI Mortgage Income Trust R,1.0000,1.0000,0.00,1.51,NAv,,
EQT Wholesale Mortgage Income,1.0000,1.0000,4.85,5.52,NAv,,
Sandhurst Select Mortgage,NAv,NAv,3.38,4.06,NAv,,
Tasmanian Perpetual Fixed Term,NAv,NAv,3.81,4.68,NAv,,
Tasmanian Perpetual Long Term,NAv,NAv,3.75,4.82,NAv,,
Tasmanian Perpetual Select Mortgage,NAv,NAv,3.82,4.82,NAv,,
Mortgages Aggressive,,
La Trobe Aust Mortgage Cash & Mortgage,1.0000,1.0000,4.26,4.98,NAv,,
La Trobe Aust Mortgage Pooled Mortgage,1.0000,1.0000,6.29,6.94,NAv,,
Multi-Strategy Income,,
Aberdeen Australian Floating Rt Inc,1.1935,1.1929,2.77,3.56,**,,
Advance Defensive Yield Multi-Blend,1.0299,1.0283,4.71,NAv,NAv,,
AMP Capital W Global Diversified Yield,1.0675,1.0653,5.01,6.45,***,,
Bentham Wholesale Global Income,1.0725,1.0639,9.49,13.05,*****,,
Franklin Templeton Multisector Bond W,1.1194,1.1194,8.53,12.50,*****,,
Kapstream Premier Absolute Return Inc,1.0450,1.0450,4.96,5.99,***,,
Kapstream Wholesale Absolute Ret Inc Fd,1.2062,1.2062,4.67,5.69,**,,
Miscellaneous,,
Aurora Fortitude Absolute Return,0.8913,0.8909,1.67,4.43,NAv,,
Plato Australian Shares Income,1.3168,1.3116,7.21,17.16,NAv,,
Russell Global Opportunities $NZ Hdg B,1.3973,1.3883,14.20,23.47,NAv,,
Russell Global Opportunities $NZ Hgd A,0.9793,0.9731,6.38,20.88,NAv,,
Australian Cash,,
Adelaide Cash Management Trust,1.0000,1.0000,2.00,2.68,NAv,,
AET Cash Deposit,NAv,NAv,2.07,2.76,NAv,,
AMP Gen-AMP Cash Mgmt,1.0007,1.0007,1.75,2.64,NAv,,
AUI Wholesale Cash Fund,1.0000,1.0000,3.29,4.24,NAv,,
BT Cash Management,NAv,NAv,1.76,2.47,NAv,,
BWA Cash Management Trust,NAv,NAv,2.00,2.69,NAv,,
CFS FC W Inv-CFS W Cash,1.0100,1.0100,2.61,3.40,NAv,,
CFS Wholesale Premium Cash,1.0000,1.0000,2.40,3.16,NAv,,
CFS Wholesale Premium Cash Enhanced,1.0000,1.0000,2.57,3.26,NAv,,
EQT Cash Management,1.0000,1.0000,1.68,2.32,NAv,,
Mutual Cash Term Deposits & Bank Bills,1.0374,1.0374,3.34,4.24,NAv,,
Ord Minnett Cash Management,NAv,NAv,1.88,2.64,NAv,,
Sandhurst Cash Common Fund,NAv,NAv,1.87,2.58,NAv,,
UBS Cash,1.0464,1.0464,2.53,3.30,NAv,,
UBS Cash Management Trust,NAv,NAv,1.57,NAv,NAv,,
Unlisted and Direct Property,,
AMP Capital W Australian Property,1.2130,1.2130,12.16,9.27,NAv,,
AUI Diversified Property Fund,0.7680,0.7602,12.10,7.78,NAv,,
AUI Healthcare Property Trust R,1.3821,1.3683,9.52,7.84,NAv,,
AUI Healthcare Property Trust W,1.3550,1.3416,10.13,8.52,NAv,,
AUI Office Property Fund,0.7686,0.7608,6.42,7.62,NAv,,
AUI Retail Property Fund R,0.7240,0.7167,11.69,7.08,NAv,,
,
